word,bow_freq,bow_rank,tfidf_avg,tfidf_rank,rank_diff
pribadi,47,582,0.0006730103162262047,657,-75
atm kena,47,583,0.0005884807335151755,751,-168
adain,47,584,0.0007695472808394287,586,-2
angkat,47,585,0.0006729076749967587,659,-74
out,47,586,0.0006379903445976053,699,-113
ragu,47,587,0.0007934351883620804,567,20
seabank,47,588,0.0006277753729054635,711,-123
vidio cal,47,589,0.0006869564899224268,643,-54
bagus aplikasi,47,590,0.001105527344865933,404,186
layar,47,591,0.0006667908089063124,666,-75
lanjut,46,592,0.0009182395162118364,483,109
mata,46,593,0.0006804026445448724,649,-56
mudah paham,46,594,0.0007178961759663728,623,-29
otomatis,46,595,0.0005889602647872963,750,-155
masuk kode,46,596,0.000634711447044357,705,-109
bnyak,46,597,0.0008020152250743984,563,34
diupdate,46,598,0.0007852830768955232,573,25
aktivasi,46,599,0.0008054976081369386,560,39
cantik,46,600,0.0006255942762758647,713,-113
susah ampun,45,601,0.0007096347572493555,630,-29
detik,45,602,0.0005996150508765556,738,-136
pas vc,45,603,0.0006853380377831889,645,-42
hidup,45,604,0.000847149824809045,529,75
pakai blue,45,605,0.0006925127724138202,638,-33
heran,45,606,0.0006015031688546205,735,-129
nik,45,607,0.0006616846438106125,669,-62
server,45,608,0.0007796435738979055,578,30
hapus data,45,609,0.0006283140260770745,710,-101
nyangkut,45,610,0.0006639358554546913,667,-57
easy,45,611,0.0009639223253456148,462,149
haloblu,45,612,0.0005911219779929338,746,-134
tgl,45,613,0.0006368341087730432,700,-87
ujung,45,614,0.0006080579227571326,728,-114
fasilitas,45,615,0.0008292301486890447,539,76
asik,45,616,0.0009762970458043099,456,160
masuk rekening,45,617,0.0005292185156119266,824,-207
